업종,주소,주선인,성공여부,대분류
소프트웨어 개발 및 공급업,"서울특별시 강남구 선릉로 577, 6층(역삼동, 조선내화 빌딩)",미래에셋증권 주식회사,심사철회,정보통신업
소프트웨어 개발 및 공급업,"서울특별시 강남구 선릉로 577 4층(역삼동, 조선내화빌딩)",키움증권㈜,심사승인,정보통신업
신탁업 및 집합투자업,"서울특별시 강남구 선릉로 531, 3층 302호",한국투자증권㈜,심사승인,금융 및 보험업
소프트웨어 개발 및 공급업,서울특별시 강남구 선릉로 525 인포스톰빌딩 3층,KB증권㈜,심사철회,정보통신업
소프트웨어 개발 및 공급업,"서울특별시 강남구 선릉로 433, 신관 17층(역삼동)",IBK투자증권㈜,심사승인,정보통신업
소프트웨어 개발 및 공급업,"서울특별시 강남구 삼성로85길 26, 11~13층",한국투자증권㈜,심사승인,정보통신업
의약품 제조업,서울특별시 강남구 삼성로 634,한국투자증권㈜,심사승인,제조업3
소프트웨어 개발 및 공급업,"서울특별시 강남구 삼성로 633, 4층(삼성동, 삼광빌딩)",한국투자증권㈜,심사승인,정보통신업
"컴퓨터 프로그래밍, 시스템 통합 및 관리업","서울특별시 강남구 삼성로 524, 2층(삼성동, 세화빌딩)",교보증권㈜,심사승인,정보통신업
부동산 임대 및 공급업,"서울특별시 강남구 삼성로 511, 4층(삼성동, 골든타워)",엔에이치투자증권주식회사,심사승인,부동산업
부동산 임대 및 공급업,서울특별시 강남구 삼성로 511,"삼성증권㈜,하나증권주식회사",심사승인,부동산업
부동산 임대 및 공급업,서울특별시 강남구 삼성로 511,엔에이치투자증권주식회사,심사승인,부동산업
기타 금융업,서울특별시 강남구 삼성로 511,신영증권㈜,심사승인,금융 및 보험업
기타 화학제품 제조업,서울특별시 강남구 삼성동 144-25 애플트리타워 14층,하나증권주식회사,심사승인,제조업3
"영화, 비디오물, 방송프로그램 제작 및 배급업",서울특별시 강남구 봉은사로22길 47,"삼성증권㈜,엔에이치투자증권주식회사",심사승인,정보통신업
소프트웨어 개발 및 공급업,서울특별시 강남구 봉은사로108길 33,키움증권㈜,심사중,정보통신업
소프트웨어 개발 및 공급업,서울특별시 강남구 봉은사로 620 유진빌딩 3층,엔에이치투자증권주식회사,심사승인,정보통신업
소프트웨어 개발 및 공급업,"서울특별시 강남구 봉은사로 502, 3층(삼성동, 삼하빌딩)",하나증권주식회사,심사철회,정보통신업
소프트웨어 개발 및 공급업,"서울특별시 강남구 봉은사로 502(삼성동, 삼하빌딩) 4층, 5층",미래에셋증권 주식회사,심사철회,정보통신업
특수 목적용 기계 제조업,서울특별시 강남구 도산대로 318,"삼성증권㈜,유진투자증권㈜",심사중,제조업4
반도체 제조업,서울특별시 강남구 도산대로 139 제이타워 14층,대신증권㈜,심사중,제조업1
봉제의복 제조업,서울특별시 강남구 도곡로 176,KB증권㈜,심사승인,제조업1
소프트웨어 개발 및 공급업,서울특별시 강남구 논현로80길 25,키움증권㈜,심사철회,정보통신업
기타 식품 제조업,"서울특별시 강남구 논현로71길 10, 3층",DB금융투자주식회사,심사승인,제조업1
일반 교습 학원,서울특별시 강남구 논현로175길 25,"유안타증권㈜,삼성증권㈜",심사승인,교육서비스업
기타 화학제품 제조업,서울특별시 강남구 논현로150길 7,삼성증권㈜,심사승인,제조업3
광고업,서울특별시 강남구 논현로135길 29,삼성증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
소프트웨어 개발 및 공급업,"서울특별시 강남구 논현로128길 5 장뻘빌딩 5,6,8층",교보증권㈜,심사승인,정보통신업
봉제의복 제조업,"서울특별시 강남구 논현로 709, 4층(논현동, 로얄빌딩)",하나증권주식회사,심사승인,제조업1
소프트웨어 개발 및 공급업,서울특별시 강남구 논현로 608,유안타증권㈜,심사철회,정보통신업
소프트웨어 개발 및 공급업,서울특별시 강남구 논현로 515 아승빌딩 6층,한국투자증권㈜,심사승인,정보통신업
"섬유, 의복, 신발 및 가죽제품 소매업",서울특별시 강남구 논현로 322,엔에이치투자증권주식회사,심사승인,도매 및 소매업
소프트웨어 개발 및 공급업,"서울특별시 강남구 남부순환로351길 4, 3층(도곡동, 스테이77)",하나증권주식회사,심사승인,정보통신업
반도체 제조업,"서울특별시 강남구 남부순환로 2645, 3층(도곡동, 한독빌딩)",한국투자증권㈜,심사승인,제조업1
"서적, 잡지 및 기타 인쇄물 출판업",서울특별시 강남구 개포로 640,미래에셋증권 주식회사,심사중,정보통신업
"가죽, 가방 및 유사제품 제조업",서울특별시 강남구 개포로 640,엔에이치투자증권주식회사,심사승인,제조업2
부동산 임대 및 공급업,서울특별시 강남구 강남대로132길 59,IBK투자증권㈜,심사미승인,부동산업
광고업,"서울특별시 강남구 강남대로 560, 7층(논현동, 삼익전자빌딩)",신영증권㈜,심사철회,"전문, 과학 및 기술 서비스업"
금융 지원 서비스업,"서울특별시 강남구 강남대로 476 (논현동, 어반하이브빌딩 16층)",케이비투자증권㈜,심사승인,금융 및 보험업
부동산 관련 서비스업,서울특별시 강남구 강남대로 364 10층 11층 15층,엔에이치투자증권주식회사,심사철회,부동산업
시장조사 및 여론조사업,서울특별시 강남구 강남대로 318,엔에이치투자증권주식회사,심사승인,"전문, 과학 및 기술 서비스업"
광고업,서울특별시 강남구 강남대로 308,엔에이치투자증권주식회사,심사승인,"전문, 과학 및 기술 서비스업"
건물 건설업,"서울특별시 강남구 강남대로 262, 15층(캠코양재타워)","한국투자증권㈜,삼성증권㈜",심사승인,건 설 업
기타 금융업,"서울특별시 강남구 가로수길 77, 5층","신한투자증권 주식회사,엔에이치투자증권주식회사,대신증권㈜",심사승인,금융 및 보험업
금융 지원 서비스업,서울시 중구 을지로 2가 185,유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울시 중구 삼일대로 343(저동1가, 대신파이낸스센터",대신증권㈜,심사승인,금융 및 보험업
부동산 임대 및 공급업,"서울시 종로구 종로33, 타워1, 12층(청진동, 그랑서울)",미래에셋증권 주식회사,심사승인,부동산업
금융 지원 서비스업,서울시 영등포구 여의도동 23-4,엔에이치투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,"서울시 영등포구 국제금융로8길 16, 5층 (여의도동, 신영증권빌딩)",신영증권㈜,심사승인,금융 및 보험업
회사 본부 및 경영 컨설팅 서비스업,서울시 서초구 서초동 1462-7,KB증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
자연과학 및 공학 연구개발업,서울시 관악구 관악로 1 서울대학교 142동 5층,삼성증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
오디오물 출판 및 원판 녹음업,서울시 강남구 청담동 111,유진투자증권㈜,심사승인,정보통신업
광고업,서울시 강남구 대치동 946-1 글라스타워 27층,한국투자증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
음식점업,"서울 중구 회현동1가 204 메사빌딩 6,7층",하나증권주식회사,심사승인,숙박 및 음식점업
기타 금융업,서울 중구 회현동1가 203 한빛은행본점 23층,"엔에이치투자증권주식회사,삼성증권㈜",심사승인,금융 및 보험업
보험업,서울 중구 태평로2가 150 삼성생명빌딩,"한국투자증권㈜,골드만삭스증권 서울지점",심사승인,금융 및 보험업
은행 및 저축기관,서울 중구 을지로2가 중소기업은행본점,삼성증권㈜,심사승인,금융 및 보험업
보험업,서울 중구 을지로2가 185,미래에셋증권 주식회사,심사승인,금융 및 보험업
보험업,서울 중구 을지로2가 185,미래에셋증권 주식회사,심사승인,금융 및 보험업
기초 화학물질 제조업,서울 중구 소공동 동양화학빌딩 17층,삼성증권㈜,심사승인,제조업3
종합 소매업,서울 중구 소공동 1 롯데쇼핑센타빌딩,미래에셋증권 주식회사,심사승인,도매 및 소매업
상품 중개업,서울 종로구 평창동 98번지,엔에이치투자증권주식회사,심사승인,도매 및 소매업
기타 금융업,서울 종로구 연지동 은석빌딩,한국투자증권㈜,심사승인,금융 및 보험업
해상 운송업,서울 종로구 신문로1가 163 광화문오피시아 5층,삼성증권㈜,심사승인,운수 및 창고업
여행사 및 기타 여행보조 서비스업,서울 종로구 세종로 211,엔에이치투자증권주식회사,심사승인,"사업시설 관리, 사업 지원 및 임대 서비스업"
해상 운송업,서울 종로구 관훈동 198-42 관훈빌딩 9층,엔에이치투자증권주식회사,심사철회,운수 및 창고업
해상 운송업,서울 종로구 관훈동 198-42 관훈빌딩 9층,엔에이치투자증권주식회사,심사승인,운수 및 창고업
생활용품 도매업,서울 종로구 공평동 1번지 한미빌딩 11층,KB증권㈜,심사승인,도매 및 소매업
여행사 및 기타 여행보조 서비스업,서울 종로구 공평동 1 (주)하나투어,대신증권㈜,심사승인,"사업시설 관리, 사업 지원 및 임대 서비스업"
"서적, 잡지 및 기타 인쇄물 출판업",서울 용산구 한강로2가 2-35,신한투자증권 주식회사,심사철회,정보통신업
기타 운송관련 서비스업,서울 용산구 원효로4가 113-25,미래에셋증권 주식회사,심사승인,운수 및 창고업
기타 정보 서비스업,서울 용산구 원효로3가 1 ~5046-1 원효빌딩 10층,엔에이치투자증권주식회사,심사승인,정보통신업
의약품 제조업,서울 용산구 동빙고동 38-6,KB증권㈜,심사승인,제조업3
보험업,서울 영등포구 여의도동60 63대한생명빌딩,미래에셋증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동34-7,엔에이치투자증권㈜(농협),심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동34-11,한양증권㈜,심사승인,금융 및 보험업
화학섬유 제조업,서울 영등포구 여의도동25-12 신송센터빌딩 14층,엔에이치투자증권주식회사,심사승인,제조업3
금융 지원 서비스업,서울 영등포구 여의도동23-8,현대차증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동 한진해운빌딩3층,케이프투자증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동 사학연금회관27-2 10층,한화투자증권㈜,심사승인,금융 및 보험업
기타 금융업,서울 영등포구 여의도동 부국증권빌딩34-2,부국증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동 미래에셋빌딩10층,미래에셋증권㈜,심사승인,금융 및 보험업
회사 본부 및 경영 컨설팅 서비스업,서울 영등포구 여의도동 굿모닝신한증권빌딩,신한투자증권 주식회사,심사승인,"전문, 과학 및 기술 서비스업"
회사 본부 및 경영 컨설팅 서비스업,서울 영등포구 여의도동 교보증권빌딩,교보증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
금융 지원 서비스업,서울 영등포구 여의도동 45-1 미래에셋빌딩,삼성증권㈜,심사승인,금융 및 보험업
기타 정보 서비스업,서울 영등포구 여의도동 43 미원빌딩 1106호,KB증권㈜,심사미승인,정보통신업
금융 지원 서비스업,서울 영등포구 여의도동 34-8 신영증권빌딩 10층,신영증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동 34-8 번지,대신증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동 34-4,KB증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동 34-10,삼성증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동 27-1,한국투자증권㈜,심사승인,금융 및 보험업
회사 본부 및 경영 컨설팅 서비스업,서울 영등포구 여의도동 26-5,엔에이치투자증권주식회사,심사승인,"전문, 과학 및 기술 서비스업"
기타 금융업,서울 영등포구 여의도동 25-5 동화빌딩4층,하이투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동 23-7 유화증권빌딩,유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동 23-7,키움증권㈜,심사승인,금융 및 보험업
기타 금융업,서울 영등포구 여의도동 23-3,교보증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동 23-3,하나증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동 2323-8,현대차증권주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울 영등포구 여의도동 23-2 신한금융투자타워,신한투자증권 주식회사,심사승인,금융 및 보험업
일반 목적용 기계 제조업,서울 영등포구 여의도동 17,한국투자증권㈜,심사승인,제조업2
기타 사업지원 서비스업,서울 영등포구 여의도동 14-33,KB증권㈜,심사승인,"사업시설 관리, 사업 지원 및 임대 서비스업"
텔레비전 방송업,서울 영등포구 여의도동 10-2,삼성증권㈜,심사승인,정보통신업
금융 지원 서비스업,"서울 영등포구 여의대로 60(여의도동, 9층)",엔에이치투자증권주식회사,심사승인,금융 및 보험업
기타 사업지원 서비스업,서울 영등포구 양평동4가 2 이레빌딩 2층,삼성증권㈜,심사승인,"사업시설 관리, 사업 지원 및 임대 서비스업"
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","서울 영등포구 양평동3가 16 우림이비지센터 911,912호",교보증권㈜,심사미승인,제조업4
특수 목적용 기계 제조업,서울 영등포구 양평동2가 21,삼성증권㈜,심사승인,제조업4
기계장비 및 관련 물품 도매업,서울 영등포구 당산동6가 340-2,현대차증권주식회사,심사승인,도매 및 소매업
텔레비전 방송업,서울 양천구 신정동 1254 양천벤처타운,"미래에셋증권 주식회사,하이투자증권㈜,제이피모간증권회사 서울지점",심사승인,정보통신업
텔레비전 방송업,서울 양천구 신정3동 1254 양천벤처타운 807호,"미래에셋증권 주식회사,제이피모간증권회사 서울지점,하이투자증권㈜",심사철회,정보통신업
텔레비전 방송업,서울 양천구 목동 918-1 케이티 목동지점 6층,미래에셋증권 주식회사,심사승인,정보통신업
소프트웨어 개발 및 공급업,서울 양천구 목1동 923-14 드림타워 501호,한국투자증권㈜,심사승인,정보통신업
기타 전기장비 제조업,서울 송파구 풍납2동 401-2 건아빌딩,SK증권㈜,심사미승인,제조업2
소프트웨어 개발 및 공급업,"서울 송파구 잠실동 222번지 서일빌딩 7,8,9층",한국투자증권㈜,심사승인,정보통신업
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",서울 송파구 오금동 24,DB금융투자주식회사,심사승인,정보통신업
반도체 제조업,서울 송파구 송파동,한화투자증권㈜,심사승인,제조업1
의료용품 및 기타 의약 관련제품 제조업,"서울 송파구 방이동65-5 태원빌딩 8,9층",미래에셋증권 주식회사,심사승인,제조업3
상품 종합 도매업,서울 송파구 문정동 150-25,대신증권㈜,심사미승인,도매 및 소매업
기반조성 및 시설물 축조관련 전문공사업,서울 송파구 마천동41 승화빌딩,한화투자증권㈜,심사승인,건 설 업
소프트웨어 개발 및 공급업,서울 송파구 가락본동 78 아이티벤처타워 서관 16층,교보증권㈜,심사승인,정보통신업
봉제의복 제조업,서울 송파구 가락2동 166-9 영빌딩,한국투자증권㈜,심사승인,제조업1
건물 건설업,서울 서초구 잠원동 50-2 설악복지센터,엔에이치투자증권주식회사,심사승인,건 설 업
반도체 제조업,서울 서초구 양재동 75-1 예원빌딩 9층,KB증권㈜,심사승인,제조업1
영상 및 음향기기 제조업,서울 서초구 양재동 324-1,엔에이치투자증권주식회사,심사승인,제조업2
회사 본부 및 경영 컨설팅 서비스업,서울 서초구 양재동 275,SK증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
기타 화학제품 제조업,서울 서초구 양재1동 66 성경빌딩 1층,교보증권㈜,심사승인,제조업3
소프트웨어 개발 및 공급업,서울 서초구 서초동1337-31 한국산학협동재단빌딩 4층,한화투자증권㈜,심사승인,정보통신업
생활용품 도매업,서울 서초구 서초동 1467-10 휠라빌딩,삼성증권㈜,심사승인,도매 및 소매업
소프트웨어 개발 및 공급업,서울 서초구 서초동 1328-3 나라종합금융빌딩 10층,한국투자증권㈜,심사승인,정보통신업
무점포 소매업,서울 서초구 서초동 1304-3,미래에셋증권 주식회사,심사승인,도매 및 소매업
전기 통신업,서울 서초구 서초2동 1329-7 신덕빌딩 7층,엔에이치투자증권주식회사,심사승인,정보통신업
소프트웨어 개발 및 공급업,서울 서초구 서초1동 1674-4 하림빌딩 7층,한국투자증권㈜,심사승인,정보통신업
알코올음료 제조업,서울 서초구 서초1동 1445-14,"엔에이치투자증권주식회사,삼성증권㈜",심사승인,제조업2
기타 금융업,서울 서초구 반포동107-1 광천빌딩,케이비투자증권㈜,심사승인,금융 및 보험업
자연과학 및 공학 연구개발업,서울 서초구 반포동 505 가톨릭대 성의교정내 성의회관 13층,미래에셋증권 주식회사,심사승인,"전문, 과학 및 기술 서비스업"
금융 지원 서비스업,서울 서대문구 충정로3가 골든브릿지빌딩5층,㈜상상인증권,심사승인,금융 및 보험업
의료용품 및 기타 의약 관련제품 제조업,서울 서대문구 신촌동 134 연세의료원 의과대학 신관 6층,삼성증권㈜,심사승인,제조업3
오디오물 출판 및 원판 녹음업,서울 마포구 합정동 397-5,미래에셋증권 주식회사,심사승인,정보통신업
기타 사업지원 서비스업,서울 마포구 아현3동 686 크레디트센타빌딩 15층,대신증권㈜,심사승인,"사업시설 관리, 사업 지원 및 임대 서비스업"
자연과학 및 공학 연구개발업,서울 마포구 성산동591-4 대명비첸시티 3층,미래에셋증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
기타 교육기관,서울 마포구 노고산동 107-111 미화빌딩 2층,교보증권㈜,심사철회,교육서비스업
전기 통신업,서울 마포구 공덕동252-5 태영빌딩 4층,한국투자증권㈜,심사승인,정보통신업
의료용 기기 제조업,서울 노원구 월계동,엔에이치투자증권주식회사,심사승인,제조업3
의료용 기기 제조업,서울 노원구 월계4동 465-14,엔에이치투자증권주식회사,심사미승인,제조업3
전자부품 제조업,서울 금천구 가산동60-11 스타밸리 906~913호,한국투자증권㈜,심사승인,제조업2
영상 및 음향기기 제조업,서울 금천구 가산동505-14 코오롱디지털타워애스턴 906호,한화투자증권㈜,심사승인,제조업2
일반 목적용 기계 제조업,서울 금천구 가산동 남성프라자(에이스9차)606호,현대차증권주식회사,심사승인,제조업2
영상 및 음향기기 제조업,서울 금천구 가산동 60-18 한신아이티타워 2차 11층,한국투자증권㈜,심사미승인,제조업2
봉제의복 제조업,서울 금천구 가산동 535-55,신한투자증권 주식회사,심사승인,제조업1
상품 종합 도매업,서울 금천구 가산동 533-2 롯데센터,유안타증권㈜,심사승인,도매 및 소매업
기타 화학제품 제조업,서울 금천구 가산동 345-9 에스케이트윈타워 에이동 3층,미래에셋증권 주식회사,심사승인,제조업3
통신 및 방송 장비 제조업,서울 금천구 가산동 345-4 에이스하이엔드8차 12층,한국투자증권㈜,심사승인,제조업2
소프트웨어 개발 및 공급업,서울 구로구 구로동222-12 마리오타워 7층,엔에이치투자증권주식회사,심사승인,정보통신업
소프트웨어 개발 및 공급업,서울 구로구 구로동212-8 대륭포스트타워1차 7층 705,한국투자증권㈜,심사승인,정보통신업
반도체 제조업,서울 구로구 구로동197-12 신세계아이앤씨빌딩 6층,미래에셋증권 주식회사,심사승인,제조업1
소프트웨어 개발 및 공급업,서울 구로구 구로동191-7 에이스테크노타워 8차 701호,한화투자증권㈜,심사승인,정보통신업
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서울 구로구 구로동187-10 코오롱싸이언스밸리 1차 201,KB증권㈜,심사승인,정보통신업
전자부품 제조업,서울 구로구 구로동 222-14 에이스하이앤드타워2차 19층,한화투자증권㈜,심사승인,제조업2
"건축기술, 엔지니어링 및 관련 기술 서비스업",서울 구로구 구로동 212-13 벽산디지털3차 808,KB증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
의료용 기기 제조업,서울 구로구 구로동 197-28 이앤씨벤처드림타워6차 1104호,한국투자증권㈜,심사승인,제조업3
소프트웨어 개발 및 공급업,서울 구로구 구로동 187-10 코오롱사이언스밸리1차 1401호,한국투자증권㈜,심사철회,정보통신업
소프트웨어 개발 및 공급업,서울 구로구 구로동 182-4 대륭포스트타워 3차 12층,삼성증권㈜,심사승인,정보통신업
소프트웨어 개발 및 공급업,서울 구로구 구로동 182-13 대륭포스트타워2차 1201~1203호,한국투자증권㈜,심사승인,정보통신업
"건축기술, 엔지니어링 및 관련 기술 서비스업","서울 구로구 구로3동 우림이비지센터빌딩 1차 805호,806호",교보증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
"서적, 잡지 및 기타 인쇄물 출판업",서울 구로구 구로3동 811-1301 코롱싸이언스밸리 2차 13층,KB증권㈜,심사승인,정보통신업
소프트웨어 개발 및 공급업,서울 구로구 구로3동 197-5 삼성아이티밸리 4층,유안타증권㈜,심사승인,정보통신업
의약품 제조업,서울 구로구 구로3동 187-10 코오롱싸이언스밸리 1차 1201호,엔에이치투자증권주식회사,심사미승인,제조업3
광고업,서울 구로구 구로3동 182-4 대륭포스트타워3차 7층,케이비투자증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
소프트웨어 개발 및 공급업,서울 구로구 구로3동 145∼182번지 182-13 대륭포스트타워2차 10층 1008호,한국투자증권㈜,심사승인,정보통신업
기계장비 및 관련 물품 도매업,서울 광진구 구의동 546-4 (테크노마트 3110호),미래에셋증권㈜,심사승인,도매 및 소매업
초등 교육기관,서울 관악구 봉천동 729-21,삼성증권㈜,심사승인,교육서비스업
초등 교육기관,서울 관악구 봉천동 729-21,삼성증권㈜,심사승인,교육서비스업
항공 여객 운송업,서울 강서구 오쇠동 47 아시아나항공,KB증권㈜,심사승인,운수 및 창고업
기초 화학물질 제조업,서울 강서구 등촌동 652-12,메리츠증권(주),심사승인,제조업3
무점포 소매업,서울 강동구 천호2동 454-2,"KB증권㈜,현대차증권주식회사,하이투자증권㈜",심사승인,도매 및 소매업
전기 통신업,서울 강동구 길동 366-2,신영증권㈜,심사승인,정보통신업
소프트웨어 개발 및 공급업,서울 강남구 청담동 129-11 세신빌딩 5층,엔에이치투자증권주식회사,심사승인,정보통신업
"섬유, 의복, 신발 및 가죽제품 소매업",서울 강남구 청담2동 79-16,한국투자증권㈜,심사승인,도매 및 소매업
소프트웨어 개발 및 공급업,"서울 강남구 역삼동831-47 광성빌딩 5,9층",신한투자증권 주식회사,심사승인,정보통신업
"영화, 비디오물, 방송프로그램 제작 및 배급업",서울 강남구 역삼동 스타타워 26층,"신한투자증권 주식회사,삼성증권㈜",심사승인,정보통신업
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서울 강남구 역삼동 대공빌딩,삼성증권㈜,심사승인,정보통신업
소프트웨어 개발 및 공급업,"서울 강남구 역삼동 논현로 64길 18 3,4,5층",한국투자증권㈜,심사미승인,정보통신업
기반조성 및 시설물 축조관련 전문공사업,서울 강남구 역삼동 814-5,DB금융투자주식회사,심사승인,건 설 업
기타 정보 서비스업,서울 강남구 역삼동,엔에이치투자증권주식회사,심사승인,정보통신업
봉제의복 제조업,서울 강남구 역삼2동 732-27 7층,미래에셋증권 주식회사,심사승인,제조업1
통신 및 방송 장비 제조업,서울 강남구 역삼2동 722-8 호서빌딩 3층,삼성증권㈜,심사철회,제조업2
기타 정보 서비스업,서울 강남구 역삼2동 717∼724 삼익라비돌빌딩 6층(상장대리인),삼성증권㈜,심사승인,정보통신업
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서울 강남구 역삼2동 706-1 데이콤빌딩 12층,엔에이치투자증권주식회사,심사철회,정보통신업
전기 통신업,서울 강남구 역삼1동 826-24 화인타워빌딩 7층,신한투자증권 주식회사,심사미승인,정보통신업
제재 및 목재 가공업,서울 강남구 역삼1동 736-1 한솔빌딩 7층,미래에셋증권 주식회사,심사승인,제조업2
기타 전문 도매업,서울 강남구 신사동 588-19 동남빌딩 801호,신한투자증권 주식회사,심사미승인,도매 및 소매업
소프트웨어 개발 및 공급업,서울 강남구 수서동 713 현대벤처빌 3층,현대차증권주식회사,심사미승인,정보통신업
자연과학 및 공학 연구개발업,서울 강남구 삼성동154-8 씨엔드에이치빌딩3층,엔에이치투자증권주식회사,심사승인,"전문, 과학 및 기술 서비스업"
소프트웨어 개발 및 공급업,서울 강남구 삼성동144-25 애플트리타워 11층,유진투자증권㈜,심사미승인,정보통신업
소프트웨어 개발 및 공급업,서울 강남구 삼성동 166 청실빌딩,삼성증권㈜,심사미승인,정보통신업
광고업,서울 강남구 삼성동 158-25 매직킹덤빌딩 4층,KB증권㈜,심사철회,"전문, 과학 및 기술 서비스업"
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서울 강남구 삼성2동 143-8 승광빌딩 6층,삼성증권㈜,심사승인,정보통신업
소프트웨어 개발 및 공급업,서울 강남구 삼성2동 143-42 원방빌딩 6층,미래에셋증권㈜,심사승인,정보통신업
"건축기술, 엔지니어링 및 관련 기술 서비스업",서울 강남구 삼성1동 159-9 공항타워 9층,삼성증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
의료용 기기 제조업,서울 강남구 삼성1동 159 트레이드타워 3105호,유안타증권㈜,심사미승인,제조업3
통신 및 방송 장비 제조업,서울 강남구 도곡2동 군인공제회관 24층,미래에셋증권㈜,심사승인,제조업2
기타 금융업,서울 강남구 대치동944-25 석주빌딩 8층,아이엠투자증권㈜,심사승인,금융 및 보험업
"건축기술, 엔지니어링 및 관련 기술 서비스업",서울 강남구 대치동 942-1,엔에이치투자증권주식회사,심사승인,"전문, 과학 및 기술 서비스업"
전기 통신업,서울 강남구 대치4동 한국통신프리텔빌딩 890-20번지,신한투자증권 주식회사,심사승인,정보통신업
반도체 제조업,서울 강남구 대치3동 997-9 삼호빌딩 2층,한국투자증권㈜,심사미승인,제조업1
1차 철강 제조업,서울 강남구 대치3동 944-20 은탑빌딩 9층,대신증권㈜,심사미승인,제조업1
가전제품 및 정보통신장비 소매업,서울 강남구 대치2동 509 하이마트빌딩,미래에셋증권 주식회사,심사승인,도매 및 소매업
기타 금융업,서울 강남구 논현동90-7 더블유저축은행빌딩리딩투자증권내,리딩투자증권㈜,심사승인,금융 및 보험업
부동산 임대 및 공급업,서울 강남구 논현동 97번지 싸이칸빌딩 9층,한양증권㈜,심사미승인,부동산업
기타 화학제품 제조업,서울 강남구 논현동 205-5 수산빌딩 3층,한국투자증권㈜,심사승인,제조업3
화학섬유 제조업,서울 강남구 논현동 119 파로스타워 12층,미래에셋증권 주식회사,심사승인,제조업3
생활용품 도매업,서울 강남구 논현2동 241-1 강남동양파라곤 에스동 4층,엔에이치투자증권주식회사,심사철회,도매 및 소매업
반도체 제조업,서울 강남구 논현1동 18-4 운산빌딩 3층,엔에이치투자증권주식회사,심사승인,제조업1
봉제의복 제조업,서울 강남구 논현1동 175-4,엔에이치투자증권주식회사,심사승인,제조업1
광고업,"서울 강남구 강남대로 292 대신증권 강남사옥 3,4,5층",케이비투자증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
기타 금융업,부산시 동구 범일동 937-3,유안타증권㈜,심사승인,금융 및 보험업
자동차 신품 부품 제조업,부산광역시 해운대구 해운대로191번길 16,삼성증권㈜,심사승인,제조업4
"건축기술, 엔지니어링 및 관련 기술 서비스업",부산광역시 해운대구 센텀중앙로 79 7층,"KB증권㈜,CS증권 서울지점,유비에스증권 리미티드 서울지점,제이피모간증권회사 서울지점,신한투자증권 주식회사,하나증권주식회사",심사승인,"전문, 과학 및 기술 서비스업"
기타 사업지원 서비스업,"부산광역시 해운대구 센텀6로 21, 901호","엔에이치투자증권주식회사,케이비투자증권㈜",심사미승인,"사업시설 관리, 사업 지원 및 임대 서비스업"
"비료, 농약 및 살균, 살충제 제조업",부산광역시 해운대구 센텀1로 28,한국투자증권㈜,심사승인,제조업3
해상 운송업,부산광역시 중구 충장대로5번길 22,엔에이치투자증권주식회사,심사승인,운수 및 창고업
플라스틱제품 제조업,부산광역시 사하구 을숙도대로873번길 31,한국투자증권㈜,심사승인,제조업1
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",부산광역시 사하구 을숙도대로 555,하나증권주식회사,심사승인,제조업4
