업종,주소,주선인,성공여부,대분류
금융 지원 서비스업,"서울특별시 영등포구 국제금융로2길 24, 6층(여의도동, 비엔케이금융타워)",㈜비엔케이투자증권,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로2길 24,SK증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로2길 24,SK증권㈜,심사승인,금융 및 보험업
기타 금융업,서울특별시 영등포구 국제금융로2길 24,SK증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로2길 24,SK증권㈜,심사승인,금융 및 보험업
소프트웨어 개발 및 공급업,"서울특별시 영등포구 국제금융로 70, 15층(여의도동, 미원빌딩)",미래에셋증권 주식회사,심사철회,정보통신업
금융 지원 서비스업,서울특별시 영등포구 국제금융로 56 대우증권빌딩,미래에셋증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로 56 (여의도동 대우증권빌딩),미래에셋증권 주식회사,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로 52,KB증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로 39,유안타증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로 24,유진투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로 24,유진투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로 24,유진투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로 24,유진투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로 24,유진투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로 24,유진투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,서울특별시 영등포구 국제금융로 24,유진투자증권㈜,심사승인,금융 및 보험업
부동산 임대 및 공급업,"서울특별시 영등포구 국제금융로 10, 41층",KB증권㈜,심사승인,부동산업
부동산 임대 및 공급업,"서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) 35층","한국투자증권㈜,씨티그룹글로벌마켓증권㈜,모건스탠리 인터내셔날증권회사 서울지점",심사승인,부동산업
기타 금융업,서울특별시 영등포구 국제금융로 10,미래에셋증권 주식회사,심사승인,금융 및 보험업
자동차 신품 부품 제조업,"서울특별시 영등포구 경인로 775, 에이스하이테크 1동 1103호",미래에셋증권 주식회사,심사승인,제조업4
소프트웨어 개발 및 공급업,"서울특별시 영등포구 가마산로 343(대림동, 콤텍빌딩 3층)",신한투자증권 주식회사,심사철회,정보통신업
소프트웨어 개발 및 공급업,서울특별시 영등포구 가마산로 343 (대림동 콤텍빌딩 3층),신한투자증권 주식회사,심사승인,정보통신업
부동산 임대 및 공급업,서울특별시 영등포구 63로 50,"한국투자증권㈜,한화투자증권㈜",심사승인,부동산업
금융 지원 서비스업,"서울특별시 영등포구 63로 40, 636호(여의도동, 라이프오피스텔)",케이비투자증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 양천구 신정중앙로 63, 205호(신정동)",KB증권㈜,심사승인,금융 및 보험업
금융 지원 서비스업,"서울특별시 양천구 신정중앙로 63, 205호",KB증권㈜,심사승인,금융 및 보험업
기타 정보 서비스업,"서울특별시 양천구 목동서로 201 23층 (목동, 케이티정보전산센터)",한국투자증권㈜,심사승인,정보통신업
금융 지원 서비스업,"서울특별시 양천구 목동동로 293, 2304호 (목동, 현대41타워)",케이비투자증권㈜,심사승인,금융 및 보험업
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",서울특별시 양천구 국회대로 162,대신증권㈜,심사승인,제조업4
기타 과학기술 서비스업,서울특별시 송파구 충민로 52 에이동 616호,키움증권㈜,심사철회,"전문, 과학 및 기술 서비스업"
기타 식품 제조업,"서울특별시 송파구 중대로 211(가락동, 나은빌딩)",키움증권㈜,심사승인,제조업1
자연과학 및 공학 연구개발업,"서울특별시 송파구 정의로 70 4층, 5층(문정동, 케이디유타워)",대신증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
통신 및 방송 장비 제조업,"서울특별시 송파구 위례성대로 6, 5층",미래에셋증권㈜,심사미승인,제조업2
"그외 기타 전문, 과학 및 기술 서비스업","서울특별시 송파구 올림픽로43길 88, 아산생명과학연구원 11층",한국투자증권㈜,심사철회,"전문, 과학 및 기술 서비스업"
의료용 기기 제조업,서울특별시 송파구 올림픽로35길 137 18층 1호,엔에이치투자증권주식회사,심사철회,제조업3
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",서울특별시 송파구 올림픽로35길 125(신천동),"한국투자증권㈜,골드만삭스증권 서울지점,제이피모간증권회사 서울지점",심사승인,정보통신업
소프트웨어 개발 및 공급업,"서울특별시 송파구 올림픽로 300, 28층(신천동, 롯데월드타워)",한화투자증권㈜,심사승인,정보통신업
기타 화학제품 제조업,"서울특별시 송파구 올림픽로 300 36층(신천동, 롯데월드타워앤드롯데월드몰)","신한투자증권 주식회사,하나증권주식회사",심사승인,제조업3
기타 화학제품 제조업,서울특별시 송파구 올림픽로 300 36층,미래에셋증권 주식회사,심사철회,제조업3
소프트웨어 개발 및 공급업,서울특별시 송파구 올림픽로 300 35층,한국투자증권㈜,심사승인,정보통신업
부동산 임대 및 공급업,서울특별시 송파구 올림픽로 300,"한국투자증권㈜,노무라금융투자㈜,홍콩상하이증권 서울지점",심사승인,부동산업
편조의복 제조업,서울특별시 송파구 오금로46길 49 (가락동) 노브랜드,삼성증권㈜,심사승인,제조업1
기타 과학기술 서비스업,서울특별시 송파구 오금로 489 4층,신한투자증권 주식회사,심사승인,"전문, 과학 및 기술 서비스업"
